expName,subject_exp,noise,cue_n_label,abs_td_dist,bias_to_distr_corr,is_outlier
color_2,S10.color.2,high - low,First report,20.2,21.7498295035071,0.0
color_2,S10.color.2,high - high,First report,80.48,-0.288916031454129,0.0
color_2,S10.color.2,high - low,First report,55.4,-16.9913903436219,0.0
color_2,S10.color.2,low - low,First report,176.08,-0.0786550512308741,0.0
color_2,S10.color.2,low - low,First report,62.6,-21.8802093728272,0.0
color_2,S10.color.2,high - low,First report,74.74,-17.8890940093,0.0
color_2,S10.color.2,high - low,First report,55.13,39.9158974520606,0.0
color_2,S10.color.2,high - low,First report,119.28,-3.58917794572743,0.0
color_2,S10.color.2,high - low,First report,45.63,36.2470178811724,0.0
color_2,S10.color.2,high - low,First report,179.27,-7.07153629062616,0.0
color_2,S10.color.2,high - low,First report,42.4900000000001,2.4057448105989,0.0
color_2,S10.color.2,low - low,First report,173.22,-6.7528753336349,0.0
color_2,S10.color.2,low - high,First report,4.91,7.03141019729925,0.0
color_2,S10.color.2,high - high,First report,22.52,1.95403808722356,0.0
color_2,S10.color.2,low - high,First report,50.4,8.15038571049858,0.0
color_2,S10.color.2,low - low,First report,120.76,-7.82335142557545,0.0
color_2,S10.color.2,high - high,First report,134.64,-26.1660211881689,0.0
color_2,S10.color.2,high - low,First report,46.57,-11.7031403409861,0.0
color_2,S10.color.2,low - high,First report,177.65,-7.34612722983422,0.0
color_2,S10.color.2,low - low,First report,86.36,-17.9602233247117,0.0
color_2,S10.color.2,low - low,First report,114.37,0.0103993957875925,0.0
color_2,S10.color.2,high - high,First report,56.71,26.9722148801603,0.0
color_2,S10.color.2,low - low,First report,3.36999999999994,-11.982055026731,0.0
color_2,S10.color.2,high - low,First report,165.83,-17.3596383260729,0.0
color_2,S10.color.2,low - high,First report,170.69,1.9878085200901,0.0
color_2,S10.color.2,high - low,First report,15.17,-1.15390843568155,0.0
color_2,S10.color.2,high - low,First report,34.77,-17.0189489807099,0.0
color_2,S10.color.2,low - low,First report,69.75,14.8548529610941,0.0
color_2,S10.color.2,high - low,First report,116.11,-6.53153786163361,0.0
color_2,S10.color.2,high - high,First report,148.8,5.26494286158169,0.0
color_2,S10.color.2,high - high,First report,134.12,20.0226553099534,0.0
color_2,S10.color.2,high - high,First report,29.34,32.2092134153184,0.0
color_2,S10.color.2,high - low,First report,151.17,10.7016752095452,0.0
color_2,S10.color.2,high - high,First report,137.36,6.16889517396887,0.0
color_2,S10.color.2,low - low,First report,100.35,-43.2887899618237,1.0
color_2,S10.color.2,low - high,First report,24.79,-1.25220330360132,0.0
color_2,S10.color.2,low - low,First report,132.44,-9.57103318108298,0.0
color_2,S10.color.2,low - high,First report,170.08,19.9976424939269,0.0
color_2,S10.color.2,low - high,First report,65.06,-4.88675369020694,0.0
color_2,S10.color.2,high - high,First report,35.96,23.1665215500236,0.0
color_2,S10.color.2,high - high,First report,2.25999999999996,-11.1247901914226,0.0
color_2,S10.color.2,high - low,First report,126.52,-15.3243506226496,0.0
color_2,S10.color.2,low - high,First report,163.93,-2.61157759801196,0.0
color_2,S10.color.2,high - low,First report,84.5,-7.82463937800118,0.0
color_2,S10.color.2,high - high,First report,163.67,-7.20779212010232,0.0
color_2,S10.color.2,high - high,First report,179.5,-7.12225029223474,0.0
color_2,S10.color.2,low - high,First report,21.85,-14.3902445818987,0.0
color_2,S10.color.2,low - high,First report,43.13,-25.5264069727971,0.0
color_2,S10.color.2,low - high,First report,6.56,-22.81427434355,0.0
color_2,S10.color.2,high - high,First report,69.3,-20.1741062010443,0.0
color_2,S10.color.2,low - high,First report,137.64,10.2724000894981,0.0
color_2,S10.color.2,high - high,First report,11.87,15.5819353214007,0.0
color_2,S10.color.2,high - low,First report,131.15,4.13950860839083,0.0
color_2,S10.color.2,low - high,First report,94.88,7.32043478559727,0.0
color_2,S10.color.2,low - high,First report,34.79,-33.170707777793,0.0
color_2,S10.color.2,high - high,First report,113.79,-8.46625004675688,0.0
color_2,S10.color.2,low - high,First report,112.84,25.1375914297208,0.0
color_2,S10.color.2,low - low,First report,24.12,-5.6958631808636,0.0
color_2,S10.color.2,low - high,First report,134.75,-10.2187153547181,0.0
color_2,S10.color.2,high - low,First report,78.68,63.0824542885752,1.0
color_2,S10.color.2,high - low,First report,101.73,22.7501473674321,0.0
color_2,S10.color.2,high - low,First report,157.04,12.8859498402185,0.0
color_2,S10.color.2,low - high,First report,8.98,-1.35520032235332,0.0
color_2,S10.color.2,low - low,First report,132.23,-24.0532544068347,0.0
color_2,S10.color.2,high - high,First report,27.99,-3.86031046754595,0.0
color_2,S10.color.2,high - high,First report,65.67,10.390862918122,0.0
color_2,S10.color.2,high - high,First report,166.96,-4.85720049828149,0.0
color_2,S10.color.2,low - low,First report,138.92,11.2835695995324,0.0
color_2,S10.color.2,low - low,First report,64.27,-22.0414607043957,0.0
color_2,S10.color.2,high - high,First report,105.69,16.540205992984,0.0
color_2,S10.color.2,low - low,First report,28.5,10.041909406327,0.0
color_2,S10.color.2,high - low,First report,74.95,5.44449512537853,0.0
color_2,S10.color.2,low - high,First report,153.17,1.41009464238891,0.0
color_2,S10.color.2,high - low,First report,150.13,9.29285253356024,0.0
color_2,S10.color.2,high - high,First report,7.27000000000001,-25.2171426096168,0.0
color_2,S10.color.2,high - high,First report,102.51,-0.193877016061016,0.0
color_2,S10.color.2,low - low,First report,120.13,-4.99195285742573,0.0
color_2,S10.color.2,low - low,First report,113.17,6.25043696042706,0.0
color_2,S10.color.2,high - high,First report,118.3,-0.0115809307602373,0.0
color_2,S10.color.2,low - high,First report,141.12,-8.40063980858523,0.0
color_2,S10.color.2,high - high,First report,31.73,-4.26812822587167,0.0
color_2,S10.color.2,high - low,First report,102.36,10.8130123719519,0.0
color_2,S10.color.2,low - low,First report,20.0,14.2943737252415,0.0
color_2,S10.color.2,high - low,First report,73.18,-22.7395294777412,0.0
color_2,S10.color.2,low - high,First report,15.29,3.7254510062528,0.0
color_2,S10.color.2,high - high,First report,113.56,9.37137455082801,0.0
color_2,S10.color.2,low - low,First report,166.71,-5.87904556212533,0.0
color_2,S10.color.2,high - high,First report,11.22,20.7992296688215,0.0
color_2,S10.color.2,low - high,First report,66.94,-15.0485585850454,0.0
color_2,S10.color.2,low - high,First report,166.54,-8.32762733663422,0.0
color_2,S10.color.2,high - high,First report,84.04,-25.0843729042311,0.0
color_2,S10.color.2,high - high,First report,168.08,34.069224314269,0.0
color_2,S10.color.2,low - high,First report,103.77,11.3067486582007,0.0
color_2,S10.color.2,high - low,First report,10.26,8.17102479252403,0.0
color_2,S10.color.2,low - low,First report,176.38,0.131921969456757,0.0
color_2,S10.color.2,low - low,First report,144.2,-0.902980222759976,0.0
color_2,S10.color.2,low - high,First report,148.03,-2.12253971186595,0.0
color_2,S10.color.2,low - low,First report,74.6,4.86133092137624,0.0
color_2,S10.color.2,high - low,First report,172.77,3.1539322469339,0.0
color_2,S10.color.2,low - high,First report,1.62,-4.01956480973127,0.0
color_2,S10.color.2,low - high,First report,5.01999999999999,-8.04841814122776,0.0
color_2,S10.color.2,high - high,First report,50.59,-4.65004105770874,0.0
color_2,S10.color.2,low - high,First report,57.59,-3.83304257107918,0.0
color_2,S10.color.2,high - low,First report,173.24,-1.76024784814186,0.0
color_2,S10.color.2,high - low,First report,43.66,1.06396508847291,0.0
color_2,S10.color.2,high - high,First report,1.06000000000001,-4.94933505800611,0.0
color_2,S10.color.2,low - low,First report,163.02,-16.7694821021506,0.0
color_2,S10.color.2,low - high,First report,101.69,-9.04971309732799,0.0
color_2,S10.color.2,low - low,First report,10.43,-2.41544891779499,0.0
color_2,S10.color.2,low - low,First report,97.62,3.28551565599403,0.0
color_2,S10.color.2,high - high,First report,117.32,-27.3091470110202,0.0
color_2,S10.color.2,low - high,First report,177.87,-6.55899050190158,0.0
color_2,S10.color.2,high - low,First report,76.17,-4.36508904020838,0.0
color_2,S10.color.2,low - high,First report,29.99,-9.26203435806893,0.0
color_2,S10.color.2,high - high,First report,80.28,-17.8347760547237,0.0
